t0_date,p0_date,event,duration_days,potential_followup_days,p1_date
2017-07-08,2017-06-14,0,466.002639,466.002639,
2017-03-13,2017-03-01,0,583.018484,583.018484,
2018-03-14,2018-02-14,0,216.768727,216.768727,
2018-04-05,2018-04-03,0,194.831319,194.831319,
2018-03-29,2018-03-24,0,202.588773,202.588773,
2017-10-18,2017-09-30,0,363.917025,363.917025,
2018-03-26,2018-03-15,0,205.068426,205.068426,
2017-02-20,2017-02-10,0,604.114074,604.114074,
2018-04-12,2018-04-05,0,187.944838,187.944838,
2017-09-04,2017-08-25,0,407.970579,407.970579,
2017-02-08,2017-01-29,0,616.274178,616.274178,
2018-03-05,2018-02-26,0,225.886736,225.886736,
2017-05-02,2017-04-13,0,533.214549,533.214549,
2017-09-14,2017-08-28,0,397.975208,397.975208,
2017-09-26,2017-09-13,0,385.890845,385.890845,
2017-10-02,2017-09-19,0,380.154363,380.154363,
2018-03-01,2018-02-15,0,229.842674,229.842674,
2017-07-18,2017-07-07,0,455.93059,455.93059,
2017-12-29,2017-12-13,0,291.903715,291.903715,
2017-05-25,2017-05-03,0,510.219468,510.219468,
2017-11-20,2017-11-16,0,330.889051,330.889051,
2018-04-04,2018-03-27,0,196.693912,196.693912,
2017-11-07,2017-10-28,0,344.709456,344.709456,
2018-02-19,2018-02-05,0,239.757801,239.757801,
2017-10-31,2017-10-12,0,350.925741,350.925741,
2017-12-06,2017-11-24,0,315.178819,315.178819,
2017-11-23,2017-11-08,0,327.74125,327.74125,
2018-02-23,2018-02-10,0,235.759144,235.759144,
2018-03-09,2018-02-23,0,222.056794,222.056794,
2017-10-23,2017-09-22,0,359.004317,359.004317,
2017-09-28,2017-09-08,0,383.890856,383.890856,
2017-10-20,2017-10-14,0,361.987836,361.987836,
2018-03-21,2018-03-09,0,209.772049,209.772049,
2017-02-23,2017-02-11,0,601.349144,601.349144,
2018-01-03,2017-12-28,0,287.225741,287.225741,
2018-02-16,2018-02-02,0,242.993519,242.993519,
2018-04-13,2018-04-04,0,187.156875,187.156875,
2017-03-28,2017-03-22,0,568.141273,568.141273,
2018-03-22,2018-03-18,0,209.226481,209.226481,
2017-10-18,2017-10-16,0,363.779618,363.779618,
2017-04-18,2017-04-06,0,547.029132,547.029132,
2018-03-17,2018-03-09,0,214.684525,214.684525,
2017-12-06,2017-11-27,0,314.913333,314.913333,
2018-03-20,2018-03-15,0,210.804167,210.804167,
2017-11-13,2017-11-07,0,337.88963,337.88963,
2017-03-30,2017-03-21,0,566.02265,566.02265,
2017-10-17,2017-10-08,0,364.926157,364.926157,
2018-02-20,2018-01-30,0,238.838206,238.838206,
2017-04-04,2017-03-23,1,26.984618,561.096944,2017-05-01
2017-10-17,2017-10-11,0,364.851481,364.851481,
2017-11-22,2017-10-31,0,328.85662,328.85662,
2017-05-22,2017-04-26,0,513.315602,513.315602,
2018-01-23,2018-01-09,0,266.893773,266.893773,
2018-03-16,2018-02-24,0,214.801273,214.801273,
2017-07-07,2017-06-30,0,467.000243,467.000243,
2018-04-18,2018-02-26,0,181.862488,181.862488,
2018-01-24,2018-01-20,0,266.119699,266.119699,
2017-10-26,2017-10-07,0,355.848912,355.848912,
2018-02-21,2018-02-09,0,237.900752,237.900752,
2017-11-27,2017-11-16,0,324.011991,324.011991,
2017-07-03,2017-06-24,0,471.076968,471.076968,
2017-10-25,2017-10-06,0,356.977153,356.977153,
2017-12-21,2017-12-06,0,300.131088,300.131088,
2017-12-07,2017-11-24,0,313.92816,313.92816,
2018-04-03,2018-03-09,0,197.10684,197.10684,
2018-02-26,2018-01-29,0,232.89287,232.89287,
2017-05-18,2017-05-12,0,517.346262,517.346262,
2017-08-18,2017-08-08,0,425.197025,425.197025,
2018-01-03,2017-12-09,0,286.754109,286.754109,
2018-01-12,2017-12-07,0,277.816863,277.816863,
2017-07-25,2017-07-20,0,448.914838,448.914838,
2017-03-20,2017-03-12,0,576.47625,576.47625,
2017-02-21,2017-02-13,0,603.150231,603.150231,
2018-03-02,2018-02-22,0,229.056366,229.056366,
2018-03-28,2018-02-14,0,202.910822,202.910822,
2018-02-15,2018-01-31,0,244.077407,244.077407,
